Filename,Start,PolyHeader,PolySize,Bytes,,,,,PolyHeader,,ENGISTQCC,,," # print(""bit0-1   | Culling      :["" + str(p_flag_bit0_1) + ""] "" + bit_ppar0_1[(p_flag_bit0_1)])"
model_BAS00_002.bin,43712,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,43848,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,43984,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,44120,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,44256,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,44392,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,44528,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,44664,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,44800,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,44936,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,45072,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,45208,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,45344,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,45480,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,45616,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,45752,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,45888,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,46024,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,46160,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,46296,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,46432,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,46568,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,46704,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,46840,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,46976,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,47112,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,47248,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,47384,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,47520,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,47656,d6 00 00 00,4,128,,,,,,,,,,
model_BAS00_003.bin,46560,f1 00 00 00,4,128,,,,,,,,,,
model_BAS00_003.bin,46696,f1 00 00 00,4,128,,,,,,,,,,
model_BAS00_003.bin,46832,f1 00 00 00,4,128,,,,,,,,,,
model_BAS00_003.bin,56256,f1 00 00 00,4,128,,,,,,,,,,
model_BAS00_003.bin,56392,f1 00 00 00,4,128,,,,,,,,,,
model_BAS00_003.bin,56528,f1 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,240,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_002.bin,8856,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_003.bin,22624,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_003.bin,22760,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_003.bin,22896,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_003.bin,23032,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_003.bin,23168,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_003.bin,23304,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_003.bin,23440,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_003.bin,23576,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_003.bin,43440,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_003.bin,70744,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_009.bin,936,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_010.bin,240,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_010.bin,376,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_011.bin,240,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_011.bin,376,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_011.bin,512,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_011.bin,648,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_011.bin,6456,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_011.bin,9488,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_011.bin,9624,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_011.bin,16368,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_012.bin,3392,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_024.bin,240,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_024.bin,376,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_024.bin,512,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_024.bin,648,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_024.bin,784,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_024.bin,6408,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_024.bin,9440,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_024.bin,9576,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_024.bin,9712,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_024.bin,9848,f2 00 00 00,4,128,,,,,,,,,,
model_BAS00_024.bin,9984,f2 00 00 00,4,128,,,,,,,,,,
